,Rank,Country,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Climate Index,Period
65,6,Switzerland,172.86,114.60,78.44,71.74,138.16,10.42,28.87,22.43,79.63,2017-mid
66,7,New Zealand,172.46,89.65,60.84,71.65,87.53,7.03,33.57,19.78,96.08,2017-mid
67,8,Australia,172.40,107.84,57.98,75.42,85.96,7.57,35.71,24.87,87.92,2017-mid
68,9,United States,167.50,114.73,51.50,68.53,77.23,3.12,34.78,31.44,76.09,2017-mid
69,10,Slovenia,166.10,68.72,75.29,65.15,58.32,8.17,26.51,26.04,76.07,2017-mid
70,11,Spain,165.67,78.18,69.96,76.34,60.64,7.90,32.12,38.35,91.61,2017-mid
71,12,Sweden,159.90,94.77,50.65,70.56,83.32,11.58,30.20,19.16,73.67,2017-mid
72,13,Portugal,159.59,55.75,65.09,69.73,54.63,9.24,31.12,29.79,97.31,2017-mid
73,14,Norway,158.85,92.20,55.01,74.96,112.75,8.58,30.64,19.54,71.87,2017-mid
74,15,Canada,158.19,98.45,60.89,69.77,72.82,6.36,36.00,27.72,53.56,2017-mid
75,16,United Kingdom,156.80,92.50,58.99,74.26,76.02,11.10,35.45,36.92,87.75,2017-mid
76,17,Japan,155.80,92.48,80.50,81.33,89.50,13.27,45.20,41.02,81.44,2017-mid
77,18,Croatia,155.14,53.71,71.86,65.05,53.98,10.79,29.36,31.67,87.23,2017-mid
78,19,France,154.43,89.37,55.22,78.40,81.16,9.28,34.83,41.00,89.93,2017-mid
79,20,Czech Republic,153.71,65.78,70.83,75.48,47.67,11.43,31.35,41.42,78.10,2017-mid
80,21,Ireland,152.11,87.26,55.24,53.12,84.88,7.13,37.00,28.31,89.49,2017-mid
81,22,Taiwan,149.97,94.89,81.69,82.75,66.80,13.83,35.82,62.86,75.22,2017-mid
82,23,Belgium,147.51,80.41,57.69,79.85,82.24,7.23,34.72,49.79,86.36,2017-mid
83,24,Slovakia,144.55,57.89,69.48,63.20,49.45,9.73,33.68,42.01,77.54,2017-mid
84,25,South Korea,142.67,89.74,70.60,82.46,81.07,14.28,35.96,52.48,65.86,2017-mid
85,26,Israel,142.48,92.26,70.54,74.98,88.56,13.43,35.52,61.05,89.76,2017-mid
86,27,Poland,141.30,64.79,69.81,62.33,43.50,9.83,34.12,51.09,75.59,2017-mid
87,28,United Arab Emirates,140.62,106.06,80.67,63.26,70.14,5.20,37.17,56.36,23.84,2017-mid
88,29,Saudi Arabia,139.86,119.44,72.86,60.29,50.22,2.84,34.98,73.13,32.01,2017-mid
89,30,Lithuania,138.36,48.45,60.94,66.33,51.93,13.79,27.03,33.92,66.84,2017-mid
90,31,Romania,138.19,57.40,71.47,53.84,38.71,8.79,32.49,51.21,74.62,2017-mid
91,32,Singapore,134.53,88.14,83.10,68.50,88.07,22.18,45.35,34.82,47.99,2017-mid
92,33,Italy,132.59,68.09,55.41,66.69,77.36,10.42,36.21,52.33,89.56,2017-mid
93,34,Greece,131.10,49.65,60.59,54.64,61.29,8.54,31.05,52.36,90.97,2017-mid
94,35,South Africa,126.41,85.91,24.61,62.55,46.45,3.64,43.03,62.49,92.46,2017-mid
95,36,Hungary,125.82,41.48,61.84,52.29,47.19,12.36,33.45,45.22,78.22,2017-mid
96,37,Bulgaria,122.85,46.62,59.99,52.72,40.24,8.77,29.13,62.65,78.84,2017-mid
97,38,Mexico,120.73,51.36,49.36,69.82,36.28,7.04,39.84,66.51,78.41,2017-mid
98,39,Argentina,119.71,50.83,36.55,72.23,56.80,11.79,38.89,55.10,94.61,2017-mid
99,40,Turkey,118.34,47.84,58.97,70.81,44.41,9.41,46.16,70.15,88.58,2017-mid
100,41,Chile,116.43,49.57,55.39,61.84,53.31,12.38,36.10,67.16,90.10,2017-mid
101,42,Serbia,116.42,36.10,61.20,53.12,37.42,18.00,29.26,55.68,82.10,2017-mid
102,43,India,110.39,67.15,55.51,67.50,27.48,9.88,46.61,76.63,55.60,2017-mid
103,44,Malaysia,104.15,64.43,36.43,65.66,43.31,9.54,37.06,65.19,42.25,2017-mid
104,45,Indonesia,103.85,32.63,56.23,68.16,42.32,13.01,41.73,58.02,49.30,2017-mid
105,46,Colombia,103.64,32.97,48.73,66.79,34.35,18.27,47.06,64.60,93.33,2017-mid
106,47,Hong Kong,99.17,74.04,79.93,65.20,79.24,38.61,41.33,68.46,72.83,2017-mid
107,48,Pakistan,94.23,35.88,46.68,56.85,27.65,11.82,40.07,77.88,69.33,2017-mid
108,49,Philippines,92.93,31.88,59.96,68.46,36.51,17.18,43.42,71.32,49.65,2017-mid
109,50,Russia,91.73,45.20,54.30,56.13,44.48,12.44,49.50,63.83,38.04,2017-mid
110,51,China,91.29,62.21,67.51,61.56,45.78,27.40,43.43,86.82,72.54,2017-mid
111,52,Brazil,89.60,36.54,29.55,52.44,53.06,17.04,46.21,60.13,90.22,2017-mid
112,53,Ukraine,87.63,25.20,49.57,49.34,29.21,19.92,38.50,67.55,69.23,2017-mid
113,54,Iran,85.03,39.29,50.16,51.78,38.19,12.90,50.17,80.79,69.01,2017-mid
114,55,Thailand,82.02,28.61,51.12,80.57,47.20,25.95,41.09,72.83,51.85,2017-mid
115,56,Egypt,78.51,23.24,46.67,42.95,25.39,11.67,47.60,89.05,85.84,2017-mid
116,1,Austria,190.37,95.66,80.75,80.91,71.52,9.66,26.27,21.90,62.13,2017
117,2,Germany,189.74,124.88,67.97,76.74,65.50,7.46,30.55,27.05,57.97,2017
118,3,Denmark,184.92,98.76,78.87,75.45,83.02,8.20,28.42,25.97,64.24,2017
119,4,New Zealand,184.74,89.87,61.22,70.58,80.77,8.14,30.23,20.03,85.41,2017
120,5,Spain,183.65,87.87,68.72,76.65,54.98,8.26,32.63,37.46,88.04,2017
121,6,Finland,182.93,114.97,75.37,74.85,73.06,7.60,34.92,13.38,35.83,2017
122,7,United States,179.73,123.17,51.24,68.22,75.42,3.26,34.58,31.19,67.95,2017
123,8,Portugal,178.43,62.72,64.61,70.31,49.19,8.85,30.44,28.91,92.19,2017
124,9,Australia,176.54,101.94,57.58,74.25,80.66,9.24,34.73,24.58,72.79,2017
125,10,Slovenia,175.45,78.23,75.95,64.35,53.24,8.34,26.48,26.37,60.50,2017
126,11,Netherlands,175.23,86.52,70.11,82.50,72.47,8.52,33.90,27.62,61.87,2017
127,12,Switzerland,173.54,95.35,77.55,71.04,122.06,14.04,28.30,20.77,69.32,2017
128,13,United Kingdom,172.87,96.85,58.81,74.28,69.49,10.00,34.60,34.88,78.91,2017
129,14,Sweden,172.74,107.23,53.35,70.64,75.88,11.77,31.60,17.87,59.13,2017
130,15,Estonia,171.09,68.48,77.00,71.30,49.50,10.54,26.71,17.71,44.56,2017
131,16,Croatia,170.63,60.71,72.20,65.49,48.00,10.91,28.45,33.34,82.02,2017
132,17,Canada,167.18,108.01,60.75,69.23,70.16,6.40,36.24,26.54,44.31,2017
133,18,Ireland,166.90,103.52,54.23,53.33,76.98,7.02,35.01,27.18,70.18,2017
134,19,Cyprus,166.64,95.92,67.54,54.23,54.07,5.21,20.32,54.77,71.01,2017
135,20,Norway,165.93,105.58,54.31,74.19,106.31,7.90,31.32,19.45,49.32,2017
136,21,Czech Republic,165.41,76.22,69.82,74.09,41.22,10.70,31.98,41.04,65.32,2017
137,22,South Korea,162.49,102.38,74.73,83.20,75.41,12.38,34.18,52.73,61.20,2017
138,23,Belgium,160.52,91.02,55.49,78.92,75.36,6.96,36.26,48.92,75.16,2017
139,24,France,160.25,87.29,56.34,78.62,74.89,11.58,35.81,40.15,73.91,2017
140,25,Israel,157.88,94.47,70.99,74.78,77.74,10.87,36.52,61.71,81.01,2017
141,26,Slovakia,152.55,64.75,69.82,62.63,44.90,9.85,36.03,43.51,65.06,2017
142,27,Poland,150.21,71.75,68.47,61.46,38.15,10.12,34.55,50.33,62.53,2017
143,28,Taiwan,150.08,118.57,82.76,81.14,61.38,12.87,32.69,62.91,24.48,2017
144,29,Greece,148.32,58.24,59.68,53.92,55.87,8.33,31.60,52.05,87.25,2017
145,30,Japan,147.49,102.52,79.11,78.63,85.28,12.68,46.81,41.01,31.91,2017
146,31,Saudi Arabia,146.41,138.05,76.35,60.41,48.37,2.85,36.31,74.18,17.96,2017
147,32,South Africa,144.72,98.96,24.28,61.72,43.12,3.58,42.98,63.56,88.74,2017
148,33,Romania,143.04,53.44,72.05,53.11,35.63,10.79,31.97,50.90,64.45,2017
149,34,Italy,142.52,71.83,55.34,66.31,83.70,12.39,36.38,51.57,82.60,2017
150,35,Argentina,139.59,58.40,37.37,73.30,52.57,12.07,37.95,53.33,90.67,2017
151,36,United Arab Emirates,139.27,116.77,79.34,60.49,67.98,5.60,35.05,58.52,8.86,2017
152,37,Bosnia And Herzegovina,139.14,51.29,59.03,61.49,35.05,11.35,26.63,60.69,73.29,2017
153,38,Hungary,138.82,47.52,61.61,53.46,42.77,11.20,33.09,43.99,66.49,2017
154,39,Bulgaria,138.20,51.40,59.82,54.03,36.49,9.07,27.92,63.12,77.05,2017
155,40,Chile,136.20,61.28,52.50,60.97,50.09,10.67,35.70,67.67,89.39,2017
156,41,Serbia,133.43,40.80,61.38,53.86,33.79,17.87,29.93,55.29,82.66,2017
157,42,Qatar,132.37,111.28,84.30,66.14,69.20,6.19,32.97,73.29,9.26,2017
158,43,Lithuania,130.28,51.67,59.97,68.74,46.73,14.19,28.00,34.27,25.04,2017
159,44,Turkey,129.63,55.64,58.91,71.68,38.60,8.87,47.58,70.46,73.19,2017
160,45,Mexico,129.06,60.08,49.68,70.11,29.81,6.94,41.66,66.74,60.74,2017
161,46,Belarus,119.23,36.43,77.74,53.76,33.84,18.73,27.66,39.64,20.07,2017
162,47,Jordan,117.47,42.27,56.86,71.92,59.22,7.96,47.76,85.73,88.42,2017
163,48,Macedonia,116.42,39.85,61.34,63.46,30.93,14.67,33.79,83.38,75.54,2017
164,49,Colombia,115.38,37.63,48.31,65.79,34.45,19.43,43.77,63.90,81.34,2017
165,50,Lebanon,106.18,53.61,50.84,64.28,61.65,13.95,36.15,85.11,69.39,2017
166,51,India,101.52,76.73,56.04,69.18,25.08,10.28,46.38,76.53,9.30,2017
167,52,Iran,97.17,43.18,49.10,51.55,38.26,13.50,49.70,82.51,71.48,2017
168,53,Brazil,96.15,42.38,29.38,51.70,53.07,16.96,46.39,61.17,70.76,2017
169,54,Hong Kong,94.45,81.45,79.32,67.99,79.96,36.15,42.22,69.90,29.73,2017
170,55,Pakistan,93.41,39.95,45.62,59.05,27.18,12.09,38.69,80.08,42.54,2017
171,56,Egypt,91.81,29.39,47.14,43.73,22.36,10.66,48.84,88.88,75.59,2017
172,57,China,90.95,67.84,66.10,62.25,44.76,23.29,43.87,88.96,38.70,2017
173,58,Sri Lanka,88.99,30.28,65.43,80.04,33.47,17.49,47.19,61.90,2.40,2017
174,59,Ukraine,87.49,26.93,48.73,49.81,26.22,22.87,39.16,67.26,49.94,2017
175,60,Singapore,86.50,92.70,83.42,69.87,82.41,21.63,43.39,37.04,-71.47,2017
176,61,Russia,85.93,48.27,53.95,56.40,42.01,13.55,48.57,63.04,10.69,2017
177,62,Indonesia,62.02,27.61,50.32,64.80,41.11,21.03,49.44,76.41,9.62,2017
178,63,Thailand,57.21,34.28,50.22,80.66,43.71,24.43,43.56,73.23,-20.21,2017
179,64,Philippines,56.87,36.00,60.23,69.16,34.71,16.91,45.14,70.25,-44.10,2017
180,65,Malaysia,51.65,73.34,35.25,65.99,40.24,9.53,39.40,67.08,-79.43,2017
181,66,Vietnam,36.12,24.77,47.04,47.87,40.11,26.76,33.00,88.10,-12.87,2017
182,67,Venezuela,0.00,3.35,14.72,36.90,38.30,202.07,46.24,72.90,91.17,2017
183,1,Denmark,201.53,135.24,76.46,78.21,84.38,6.33,28.03,26.84,66.05,2016-mid
184,2,Switzerland,196.44,153.90,75.60,69.93,125.67,9.27,27.37,21.73,63.37,2016-mid
185,3,Australia,196.40,137.26,58.00,74.14,79.73,7.54,35.82,24.09,80.58,2016-mid
186,4,New Zealand,196.09,108.61,62.21,72.17,81.53,6.80,28.51,19.43,85.96,2016-mid
187,5,Germany,189.87,136.14,67.30,76.02,66.79,7.23,31.21,27.68,52.01,2016-mid
188,6,Austria,187.00,103.54,78.33,78.80,71.79,10.37,28.98,25.43,62.13,2016-mid
189,7,Netherlands,186.46,120.12,69.10,69.19,73.03,6.47,33.80,29.08,67.11,2016-mid
190,8,Spain,184.69,94.80,67.88,76.55,57.01,8.70,30.80,40.37,89.25,2016-mid
191,9,Finland,183.98,123.42,73.50,74.80,74.39,7.99,33.77,14.57,34.80,2016-mid
192,10,United States,181.91,130.17,51.32,68.18,73.21,3.39,33.87,32.73,67.40,2016-mid
193,11,Portugal,180.66,68.38,65.45,69.76,49.82,8.87,30.13,29.87,92.99,2016-mid
194,12,Sweden,177.93,117.26,54.86,74.71,77.63,11.79,31.00,16.59,55.18,2016-mid
195,13,United Kingdom,177.73,109.78,57.63,74.30,72.73,9.54,34.35,34.24,78.72,2016-mid
196,14,Norway,176.23,115.01,60.63,73.95,104.26,7.67,28.86,19.28,52.28,2016-mid
197,15,Canada,172.83,118.08,60.47,68.76,69.09,6.50,37.25,28.17,51.16,2016-mid
198,16,Japan,172.72,107.31,80.02,80.19,93.03,13.38,47.37,40.90,81.29,2016-mid
199,17,France,172.30,105.38,56.61,80.60,76.89,11.38,33.58,42.04,82.34,2016-mid
200,18,Estonia,171.71,72.33,74.07,71.31,50.52,11.00,22.33,19.19,44.56,2016-mid
201,19,Ireland,170.83,115.49,53.62,53.40,78.69,7.70,35.58,27.47,72.00,2016-mid
202,20,Czech Republic,167.77,82.75,68.67,74.64,41.60,10.61,31.22,42.17,66.27,2016-mid
203,21,South Korea,167.52,108.37,85.01,88.43,74.45,13.17,33.27,50.28,49.03,2016-mid
204,22,Croatia,167.51,63.93,71.28,61.81,49.39,11.72,29.42,30.69,76.69,2016-mid
205,23,Belgium,162.57,99.28,55.13,78.23,76.21,7.13,37.30,50.46,77.32,2016-mid
206,24,Israel,160.72,103.82,68.65,75.47,75.23,10.95,38.04,61.91,81.94,2016-mid
207,25,Italy,160.21,102.59,55.03,66.56,69.65,10.61,36.94,52.96,86.70,2016-mid
208,26,Saudi Arabia,156.98,161.43,74.48,60.93,46.30,2.71,36.61,72.12,18.29,2016-mid
209,27,Greece,156.80,67.32,60.60,55.01,55.64,7.90,29.62,49.10,88.28,2016-mid
210,28,Slovakia,154.13,67.63,68.77,61.15,45.75,9.55,32.17,44.28,65.09,2016-mid
211,29,Taiwan,150.62,113.24,80.48,84.72,57.36,15.54,33.57,64.30,35.71,2016-mid
212,30,Poland,150.13,75.34,67.38,60.46,38.39,10.91,34.74,50.79,63.87,2016-mid
213,31,South Africa,148.93,111.44,22.51,61.53,37.76,3.33,43.35,64.46,88.04,2016-mid
214,32,Romania,144.93,57.12,69.47,53.15,35.73,11.04,32.08,48.72,65.60,2016-mid
215,33,Mexico,142.85,66.91,49.63,68.01,33.07,6.61,38.90,66.80,82.54,2016-mid
216,34,Bosnia And Herzegovina,142.52,56.20,58.57,60.93,35.13,11.23,23.55,57.27,69.18,2016-mid
217,35,United Arab Emirates,141.51,126.15,77.81,59.60,65.74,5.50,33.80,59.62,7.19,2016-mid
218,36,Chile,140.67,70.01,52.01,60.32,47.86,9.98,35.68,66.81,88.93,2016-mid
219,37,Hungary,140.01,50.74,59.24,52.46,42.27,10.77,31.09,45.46,68.38,2016-mid
220,38,Bulgaria,139.74,54.29,58.05,53.42,37.00,9.15,27.54,61.69,78.17,2016-mid
221,39,Argentina,137.33,61.29,36.90,74.10,55.31,13.11,39.09,56.11,91.70,2016-mid
222,40,Serbia,135.95,44.83,60.05,55.81,34.55,17.58,27.87,55.88,82.68,2016-mid
223,41,Qatar,135.57,131.01,79.59,68.88,67.98,5.68,31.96,80.34,9.26,2016-mid
224,42,Lithuania,133.37,57.75,58.42,67.62,46.94,12.34,29.17,33.16,24.85,2016-mid
225,43,Turkey,129.65,59.85,60.54,71.87,46.68,8.34,48.99,69.22,70.01,2016-mid
226,44,Jordan,120.57,46.50,55.96,71.23,55.51,8.58,47.22,83.27,88.61,2016-mid
227,45,Colombia,118.49,40.77,49.30,67.53,32.40,18.20,44.95,64.62,81.50,2016-mid
228,46,Macedonia,114.94,42.80,61.50,62.40,32.04,14.91,35.35,85.00,75.54,2016-mid
229,47,India,106.28,83.16,55.19,68.42,24.02,10.75,45.07,76.65,14.49,2016-mid
230,48,Hong Kong,104.02,91.79,79.69,75.30,78.20,34.95,43.94,67.53,29.85,2016-mid
231,49,Iran,96.99,46.70,48.12,50.13,38.21,13.56,49.17,83.65,71.48,2016-mid
232,50,Brazil,94.75,46.89,29.36,51.95,49.13,16.57,47.17,61.03,62.41,2016-mid
233,51,China,94.59,68.42,68.49,62.17,45.71,25.73,44.73,88.08,48.14,2016-mid
234,52,Pakistan,92.28,42.32,43.61,58.57,26.33,12.59,38.76,77.85,38.51,2016-mid
235,53,Singapore,88.86,97.99,83.51,70.86,87.83,20.94,42.15,37.69,-71.47,2016-mid
236,54,Egypt,88.35,37.14,43.54,46.61,32.62,10.79,51.02,92.84,75.59,2016-mid
237,55,Russia,86.53,52.60,52.64,55.42,35.63,13.30,48.41,64.45,9.20,2016-mid
238,56,Ukraine,84.07,27.50,50.57,48.06,26.95,25.78,39.55,68.58,50.45,2016-mid
239,57,Indonesia,66.39,33.75,50.49,65.43,38.41,18.60,47.27,76.25,4.45,2016-mid
240,58,Philippines,60.04,38.41,61.01,68.77,35.27,17.45,44.55,71.58,-37.67,2016-mid
241,59,Malaysia,57.40,83.06,34.44,65.84,42.24,9.36,39.33,67.61,-73.66,2016-mid
242,60,Thailand,49.48,37.17,47.84,79.75,41.98,24.06,43.45,72.84,-36.92,2016-mid
243,61,Vietnam,31.48,24.06,46.55,42.25,39.11,28.87,33.79,88.41,-11.58,2016-mid
244,1,Switzerland,208.54,178.74,74.27,68.88,123.10,8.57,28.73,23.02,70.50,2016
245,2,Denmark,206.49,142.14,74.33,81.89,84.88,5.85,25.64,29.93,70.65,2016
246,3,New Zealand,201.06,115.47,63.63,72.60,78.17,6.28,31.10,19.04,88.35,2016
247,4,Germany,199.70,147.61,67.05,75.85,65.54,7.13,29.07,29.91,63.02,2016
248,5,Australia,198.79,147.25,56.88,73.71,78.45,8.43,34.65,22.88,77.33,2016
249,6,Austria,192.40,120.46,75.94,77.78,66.59,9.52,26.79,30.77,63.76,2016
250,7,Netherlands,192.40,129.34,68.53,70.43,72.12,5.87,35.51,32.79,76.28,2016
251,8,Norway,188.90,125.75,69.89,74.23,99.80,7.36,29.48,18.21,56.33,2016
252,9,Spain,186.41,105.31,68.23,75.89,56.11,8.06,30.52,46.58,90.80,2016
253,10,Sweden,185.81,128.22,56.88,74.33,75.70,11.19,32.05,18.30,61.80,2016
254,11,Finland,184.01,132.93,71.88,74.36,75.25,7.73,32.89,17.84,32.56,2016
255,12,United States,183.96,139.17,51.13,67.76,74.08,3.37,33.35,34.94,67.57,2016
256,13,Portugal,181.18,75.47,64.87,69.03,49.83,8.43,30.56,31.85,91.70,2016
257,14,United Kingdom,180.25,120.00,56.87,74.03,81.03,9.28,35.53,35.02,81.60,2016
258,15,Canada,177.23,134.81,60.80,68.62,64.82,6.14,37.79,29.48,46.23,2016
259,16,Japan,176.06,117.55,80.66,80.42,81.25,20.17,48.35,34.04,79.64,2016
260,17,Slovenia,175.93,89.76,73.73,58.47,52.19,9.72,25.00,28.20,62.46,2016
261,18,France,173.56,118.51,55.94,82.25,75.30,11.93,31.98,46.31,78.30,2016
262,19,Croatia,172.39,67.89,70.49,59.96,48.20,11.88,30.03,30.42,85.64,2016
263,20,Ireland,171.92,125.66,51.61,50.38,78.03,8.51,32.31,30.85,73.07,2016
264,21,South Korea,170.29,120.64,85.69,78.97,73.18,14.87,30.93,49.65,51.35,2016
265,22,Czech Republic,167.38,89.99,67.94,72.35,41.80,10.33,32.48,42.49,63.48,2016
266,23,Israel,166.63,115.54,69.37,76.07,75.75,10.64,37.76,61.46,81.89,2016
267,24,Greece,165.43,79.27,61.54,59.17,54.40,7.38,29.09,47.22,87.14,2016
268,25,Belgium,162.29,106.69,54.81,78.06,75.44,6.58,36.19,56.61,76.97,2016
269,26,Italy,159.28,105.67,53.78,67.76,68.77,10.37,36.49,56.56,86.19,2016
270,27,Saudi Arabia,159.18,167.86,74.80,65.09,47.60,2.78,38.70,72.20,16.77,2016
271,28,South Africa,156.70,126.10,21.57,59.58,34.75,3.34,43.18,63.29,91.42,2016
272,29,Poland,153.61,80.77,68.59,60.01,38.53,10.95,34.51,49.87,64.33,2016
273,30,Chile,147.26,78.40,58.00,61.05,43.88,9.88,33.81,67.21,85.68,2016
274,31,Bosnia And Herzegovina,146.70,60.64,57.54,60.52,34.59,10.94,23.41,57.95,75.31,2016
275,32,Romania,146.13,61.90,70.28,51.43,34.80,10.56,33.29,50.50,66.96,2016
276,33,United Arab Emirates,144.09,136.43,76.92,58.20,66.09,5.43,33.69,59.54,5.91,2016
277,34,Bulgaria,141.61,59.19,58.58,50.93,36.36,8.80,28.66,60.35,77.80,2016
278,35,Hungary,140.74,56.30,58.07,52.07,41.29,9.81,31.78,46.70,66.89,2016
